insize,outsize,batchsize,outloop,outtick,intick,latencytick,wcount,port_0,portw_0,dotProd,sum,bias_0,output_0,outputBOOL
10,10,4,0,0,0,0,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,1,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,2,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,3,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,4,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,5,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,6,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,7,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,8,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,9,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,10,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,0,11,0,-7.867813110351562e-06,-3.630466380855069e-07,2.85638309879821e-12,2.85638309879821e-12,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,0,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,1,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,2,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,3,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,4,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,5,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,6,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,7,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,8,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,9,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,10,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,1,11,1,-3.039836883544922e-05,1.073751718649874e-07,-3.26403010522669e-12,-4.076470064284798e-13,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,0,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,1,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,2,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,3,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,4,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,5,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,6,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,7,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
10,10,4,0,0,2,8,2,-6.091594696044922e-05,-1.781808123269002e-06,1.085405307299503e-10,1.081328845908835e-10,0.04499910026788712,0.04496872425079346,0
