Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00   70002/2372592     void std::_Construct<unsigned char>(unsigned char*) [160]
                0.00    0.00  152000/2372592     void std::_Construct<std::vector<unsigned char, std::allocator<unsigned char> >, std::vector<unsigned char, std::allocator<unsigned char> > const&>(std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<unsigned char, std::allocator<unsigned char> > const&) [13]
                0.00    0.00  199400/2372592     void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&) [136]
                0.01    0.00 1800000/2372592     void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [96]
[81]     0.0    0.01    0.00 2372592         operator new(unsigned long, void*) [81]
-----------------------------------------------
                0.00    0.00  199400/2359400     std::vector<float, std::allocator<float> >::back() [135]
                0.01    0.00 2160000/2359400     bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) const [51]
[82]     0.0    0.01    0.00 2359400         __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const [82]
-----------------------------------------------
                0.01    0.00 1922480/1922480     float* std::__relocate_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&) [42]
[83]     0.0    0.01    0.00 1922480         std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&) [83]
-----------------------------------------------
                0.00    0.00   12000/886436      std::_Vector_base<float, std::allocator<float> >::get_allocator() const [166]
                0.00    0.00   24000/886436      std::vector<float, std::allocator<float> >::_S_check_init_len(unsigned long, std::allocator<float> const&) [132]
                0.00    0.00   56764/886436      std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::_Vector_base<float, std::allocator<float> >::_Vector_impl&&) [147]
                0.00    0.00  384836/886436      std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&) [111]
                0.00    0.00  408836/886436      std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&) [108]
[84]     0.0    0.01    0.00  886436         std::allocator<float>::allocator(std::allocator<float> const&) [84]
                0.00    0.00  886436/886436      __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&) [271]
-----------------------------------------------
                0.01    0.00  600000/600000      back_prop(std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> >) [2]
[85]     0.0    0.01    0.00  600000         MSEdLoss(float, float) [85]
-----------------------------------------------
                0.01    0.00  152006/304012      std::vector<unsigned char, std::allocator<unsigned char> >::begin() const [105]
                0.01    0.00  152006/304012      std::vector<unsigned char, std::allocator<unsigned char> >::end() const [104]
[86]     0.0    0.01    0.00  304012         __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&) [86]
-----------------------------------------------
                0.00    0.00       2/140006      __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator+(long) const [233]
                0.00    0.00       4/140006      std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::begin() [229]
                0.00    0.00   70000/140006      std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::end() [107]
                0.00    0.00   70000/140006      __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator-(long) const [106]
[87]     0.0    0.01    0.00  140006         __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::__normal_iterator(std::vector<unsigned char, std::allocator<unsigned char> >* const&) [87]
-----------------------------------------------
                0.01    0.00 1090556/1090556     std::allocator<float>::~allocator() [89]
[88]     0.0    0.01    0.00 1090556         __gnu_cxx::new_allocator<float>::~new_allocator() [88]
-----------------------------------------------
                0.00    0.00   12000/1090556     process_images(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, int) [8]
                0.00    0.00   12000/1090556     std::__shrink_to_fit_aux<std::vector<float, std::allocator<float> >, true>::_S_do_it(std::vector<float, std::allocator<float> >&) [131]
                0.00    0.00   24000/1090556     std::vector<float, std::allocator<float> >::_S_check_init_len(unsigned long, std::allocator<float> const&) [132]
                0.00    0.00  384836/1090556     std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&) [53]
                0.00    0.01  657720/1090556     std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl() [98]
[89]     0.0    0.00    0.01 1090556         std::allocator<float>::~allocator() [89]
                0.01    0.00 1090556/1090556     __gnu_cxx::new_allocator<float>::~new_allocator() [88]
-----------------------------------------------
                0.01    0.00  292014/292014      std::vector<unsigned char, std::allocator<unsigned char> >::~vector() [38]
[90]     0.0    0.01    0.00  292014         std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base() [90]
                0.00    0.00  292014/292016      std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long) [299]
                0.00    0.00  292014/292014      std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl() [301]
-----------------------------------------------
                0.00    0.01   70000/70000       std::vector<unsigned char, std::allocator<unsigned char> >& std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::emplace_back<std::vector<unsigned char, std::allocator<unsigned char> > >(std::vector<unsigned char, std::allocator<unsigned char> >&&) [78]
[91]     0.0    0.00    0.01   70000         std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::back() [91]
                0.00    0.00   70000/70000       std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::end() [107]
                0.00    0.00   70000/70000       __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator-(long) const [106]
                0.00    0.00   70000/70000       __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator*() const [357]
-----------------------------------------------
                0.00    0.01   60000/60000       void mnist::read_mnist_image_file<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#1}>(std::vector<std::vector<unsigned char, std::allocator<unsigned char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#1}) [23]
[92]     0.0    0.00    0.01   60000         mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#1}::operator()() const [92]
                0.00    0.01   60000/70000       std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, std::allocator<unsigned char> const&) [71]
                0.00    0.00   60000/70006       std::allocator<unsigned char>::allocator() [348]
                0.00    0.00   60000/584026      std::allocator<unsigned char>::~allocator() [282]
-----------------------------------------------
                0.00    0.01   61240/61240       float& std::vector<float, std::allocator<float> >::emplace_back<float>(float&&) [72]
[93]     0.0    0.00    0.01   61240         void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [93]
                0.00    0.00   61240/961240      std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const [34]
                0.00    0.00  122480/1922480     std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&) [35]
                0.00    0.00   61240/199400      void std::allocator_traits<std::allocator<float> >::construct<float, float>(std::allocator<float>&, float*, float&&) [137]
                0.00    0.00   61240/1093240     __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [115]
                0.00    0.00  122480/6772960     __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const [80]
                0.00    0.00  122480/3037036     std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() [257]
                0.00    0.00   61240/1213240     std::vector<float, std::allocator<float> >::begin() [269]
                0.00    0.00   61240/1370076     std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long) [265]
                0.00    0.00   61240/659440      float&& std::forward<float>(std::remove_reference<float>::type&) [276]
                0.00    0.00   61240/1618960     std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long) [262]
-----------------------------------------------
                0.00    0.01       2/2           main [1]
[94]     0.0    0.00    0.01       2         process_targets(std::vector<unsigned char, std::allocator<unsigned char> >, int) [94]
                0.00    0.01       2/2           convert_labels(std::vector<unsigned char, std::allocator<unsigned char> >) [95]
                0.00    0.00       2/152006      std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&) [17]
                0.00    0.00       4/12004       std::vector<unsigned char, std::allocator<unsigned char> >::begin() [69]
                0.00    0.00       4/292014      std::vector<unsigned char, std::allocator<unsigned char> >::~vector() [38]
                0.00    0.00       2/2           std::vector<unsigned char, std::allocator<unsigned char> >::vector<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, void>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<unsigned char> const&) [245]
                0.00    0.00       4/4           __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator<unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, __gnu_cxx::__enable_if<std::__are_same<unsigned char*, unsigned char*>::__value, std::vector<unsigned char, std::allocator<unsigned char> > >::__type> const&) [569]
                0.00    0.00       2/2           __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+(long) const [656]
                0.00    0.00       2/70006       std::allocator<unsigned char>::allocator() [348]
                0.00    0.00       2/584026      std::allocator<unsigned char>::~allocator() [282]
-----------------------------------------------
                0.00    0.01       2/2           process_targets(std::vector<unsigned char, std::allocator<unsigned char> >, int) [94]
[95]     0.0    0.00    0.01       2         convert_labels(std::vector<unsigned char, std::allocator<unsigned char> >) [95]
                0.00    0.01  120000/199400      std::vector<float, std::allocator<float> >::push_back(float&&) [73]
                0.00    0.00  120000/55070000     std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long) [29]
                0.00    0.00   12000/24000       std::vector<float, std::allocator<float> >::shrink_to_fit() [127]
                0.00    0.00   12000/24000       std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::push_back(std::vector<float, std::allocator<float> >&&) [130]
                0.00    0.00   12000/657720      std::vector<float, std::allocator<float> >::~vector() [100]
                0.00    0.00   12002/164024      std::vector<unsigned char, std::allocator<unsigned char> >::size() const [322]
                0.00    0.00   12000/192120      std::vector<float, std::allocator<float> >::vector() [320]
                0.00    0.00   12000/80764       std::remove_reference<std::vector<float, std::allocator<float> >&>::type&& std::move<std::vector<float, std::allocator<float> >&>(std::vector<float, std::allocator<float> >&) [344]
                0.00    0.00       2/4           std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::vector() [622]
-----------------------------------------------
                0.00    0.01 1800000/1800000     void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&) [97]
[96]     0.0    0.00    0.01 1800000         void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [96]
                0.01    0.00 1800000/2372592     operator new(unsigned long, void*) [81]
                0.00    0.00 1800000/4500000     float const& std::forward<float const&>(std::remove_reference<float const&>::type&) [255]
-----------------------------------------------
                0.00    0.00  900000/1800000     std::vector<float, std::allocator<float> >::push_back(float const&) [11]
                0.00    0.00  900000/1800000     void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&) [31]
[97]     0.0    0.00    0.01 1800000         void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&) [97]
                0.00    0.01 1800000/1800000     void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [96]
                0.00    0.00 1800000/4500000     float const& std::forward<float const&>(std::remove_reference<float const&>::type&) [255]
-----------------------------------------------
                0.00    0.01  657720/657720      std::_Vector_base<float, std::allocator<float> >::~_Vector_base() [99]
[98]     0.0    0.00    0.01  657720         std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl() [98]
                0.00    0.01  657720/1090556     std::allocator<float>::~allocator() [89]
-----------------------------------------------
                0.00    0.01  657720/657720      std::vector<float, std::allocator<float> >::~vector() [100]
[99]     0.0    0.00    0.01  657720         std::_Vector_base<float, std::allocator<float> >::~_Vector_base() [99]
                0.00    0.01  657720/657720      std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl() [98]
                0.00    0.00  657720/1618960     std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long) [262]
-----------------------------------------------
                0.00    0.00     956/657720      Neuron::~Neuron() [209]
                0.00    0.00   12000/657720      convert_labels(std::vector<unsigned char, std::allocator<unsigned char> >) [95]
                0.00    0.00   12000/657720      process_images(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, int) [8]
                0.00    0.00   12000/657720      std::__shrink_to_fit_aux<std::vector<float, std::allocator<float> >, true>::_S_do_it(std::vector<float, std::allocator<float> >&) [131]
                0.00    0.00   32764/657720      void __gnu_cxx::new_allocator<std::vector<float, std::allocator<float> > >::destroy<std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >*) [158]
                0.00    0.00   48000/657720      void std::_Destroy<std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >*) [151]
                0.00    0.00  120000/657720      verify_classification() [19]
                0.00    0.00  420000/657720      main [1]
[100]    0.0    0.00    0.01  657720         std::vector<float, std::allocator<float> >::~vector() [100]
                0.00    0.01  657720/657720      std::_Vector_base<float, std::allocator<float> >::~_Vector_base() [99]
                0.00    0.00  657720/3037036     std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() [257]
                0.00    0.00  657720/657720      void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&) [279]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[101]    0.0    0.00    0.01       1         mnist::MNIST_dataset<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>::~MNIST_dataset() [101]
                0.00    0.01       2/12          std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::~vector() [45]
                0.00    0.00       2/292014      std::vector<unsigned char, std::allocator<unsigned char> >::~vector() [38]
-----------------------------------------------
                0.00    0.01       2/2           std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator=(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&&) [103]
[102]    0.0    0.00    0.01       2         std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_M_move_assign(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&&, std::integral_constant<bool, true>) [102]
                0.00    0.01       2/12          std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::~vector() [45]
                0.00    0.00       4/4           std::_Vector_base<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_Vector_impl_data::_M_swap_data(std::_Vector_base<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_Vector_impl_data&) [602]
                0.00    0.00       4/26          std::_Vector_base<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_M_get_Tp_allocator() [470]
                0.00    0.00       2/2           std::_Vector_base<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::get_allocator() const [658]
                0.00    0.00       2/2           std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::vector(std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > const&) [680]
                0.00    0.00       2/22          std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > >::~allocator() [474]
                0.00    0.00       2/2           void std::__alloc_on_move<std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >(std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > >&, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > >&) [696]
-----------------------------------------------
                0.00    0.01       2/2           mnist::MNIST_dataset<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char> mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long) [21]
[103]    0.0    0.00    0.01       2         std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator=(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&&) [103]
                0.00    0.01       2/2           std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::_M_move_assign(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&&, std::integral_constant<bool, true>) [102]
                0.00    0.00       2/2           std::remove_reference<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&>::type&& std::move<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&>(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >&) [705]
-----------------------------------------------
                0.00    0.01  152006/152006      std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&) [17]
[104]    0.0    0.00    0.01  152006         std::vector<unsigned char, std::allocator<unsigned char> >::end() const [104]
                0.01    0.00  152006/304012      __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&) [86]
-----------------------------------------------
                0.00    0.01  152006/152006      std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&) [17]
[105]    0.0    0.00    0.01  152006         std::vector<unsigned char, std::allocator<unsigned char> >::begin() const [105]
                0.01    0.00  152006/304012      __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&) [86]
-----------------------------------------------
                0.00    0.00   70000/70000       std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::back() [91]
[106]    0.0    0.00    0.00   70000         __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator-(long) const [106]
                0.00    0.00   70000/140006      __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::__normal_iterator(std::vector<unsigned char, std::allocator<unsigned char> >* const&) [87]
-----------------------------------------------
                0.00    0.00   70000/70000       std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::back() [91]
[107]    0.0    0.00    0.00   70000         std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::end() [107]
                0.00    0.00   70000/140006      __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::__normal_iterator(std::vector<unsigned char, std::allocator<unsigned char> >* const&) [87]
-----------------------------------------------
                0.00    0.00   24000/408836      std::_Vector_base<float, std::allocator<float> >::_Vector_base(std::allocator<float> const&) [163]
                0.00    0.00  384836/408836      std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&) [110]
[108]    0.0    0.00    0.00  408836         std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&) [108]
                0.00    0.00  408836/886436      std::allocator<float>::allocator(std::allocator<float> const&) [84]
                0.00    0.00  408836/612956      std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data() [280]
-----------------------------------------------
                0.00    0.00  384836/384836      std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&) [53]
[109]    0.0    0.00    0.00  384836         __gnu_cxx::__alloc_traits<std::allocator<float>, float>::_S_select_on_copy(std::allocator<float> const&) [109]
                0.00    0.00  384836/384836      std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&) [111]
-----------------------------------------------
                0.00    0.00  384836/384836      std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&) [53]
[110]    0.0    0.00    0.00  384836         std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&) [110]
                0.00    0.00  384836/408836      std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&) [108]
                0.00    0.00  384836/384836      std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long) [290]
-----------------------------------------------
                0.00    0.00  384836/384836      __gnu_cxx::__alloc_traits<std::allocator<float>, float>::_S_select_on_copy(std::allocator<float> const&) [109]
[111]    0.0    0.00    0.00  384836         std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&) [111]
                0.00    0.00  384836/886436      std::allocator<float>::allocator(std::allocator<float> const&) [84]
-----------------------------------------------
                0.00    0.00       2/2           main [1]
[112]    0.0    0.00    0.00       2         Linear::Linear(int, int) [112]
                0.00    0.00      60/60          Neuron::Neuron(int) [113]
                0.00    0.00      60/60          std::vector<Neuron, std::allocator<Neuron> >::push_back(Neuron&&) [184]
                0.00    0.00      60/478         Neuron::~Neuron() [209]
                0.00    0.00       2/2           std::vector<Neuron, std::allocator<Neuron> >::vector() [677]
-----------------------------------------------
                0.00    0.00      60/60          Linear::Linear(int, int) [112]
[113]    0.0    0.00    0.00      60         Neuron::Neuron(int) [113]
                0.00    0.00   79400/199400      std::vector<float, std::allocator<float> >::push_back(float&&) [73]
                0.00    0.00   39760/39760       float std::normal_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&) [375]
                0.00    0.00     120/192120      std::vector<float, std::allocator<float> >::vector() [320]
                0.00    0.00      60/60          std::random_device::random_device() [445]
                0.00    0.00      60/60          std::random_device::operator()() [447]
                0.00    0.00      60/60          std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::linear_congruential_engine(unsigned long) [453]
                0.00    0.00      60/60          std::normal_distribution<float>::normal_distribution(float, float) [451]
                0.00    0.00      60/60          std::random_device::~random_device() [446]
-----------------------------------------------
                0.00    0.00 1200000/1200000     __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__max_element<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__ops::_Iter_less_iter) [37]
[114]    0.0    0.00    0.00 1200000         bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [114]
                0.00    0.00 2400000/6772960     __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const [80]
-----------------------------------------------
                0.00    0.00   12000/1093240     decltype ((({parm#1}.base)())-(({parm#2}.base)())) std::operator-<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&) [181]
                0.00    0.00   61240/1093240     void std::vector<float, std::allocator<float> >::_M_realloc_insert<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [93]
                0.00    0.00  120000/1093240     verify_classification() [19]
                0.00    0.00  900000/1093240     void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&) [31]
