Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    230.90     0.01  1922480     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&)
  0.00    230.91     0.01  1090556     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00    230.92     0.01   961240     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.00    230.93     0.01   886436     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00    230.94     0.01   600000     0.00     0.00  MSEdLoss(float, float)
  0.00    230.95     0.01   384836     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00    230.96     0.01   304012     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
  0.00    230.97     0.01   292014     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00    230.98     0.01   140006     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::__normal_iterator(std::vector<unsigned char, std::allocator<unsigned char> >* const&)
  0.00    230.99     0.01    70002     0.00     0.00  unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00    231.00     0.01    60000     0.00     0.00  MSELoss(std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> >)
  0.00    231.01     0.01    12000     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, float*, float>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, float*, std::allocator<float>&)
  0.00    231.01     0.01  7200000     0.00     0.00  sigma(float)
  0.00    231.02     0.01  3600000     0.00     0.00  dsigma(float)
  0.00    231.02     0.00  4500000     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00    231.02     0.00  3316556     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00    231.02     0.00  3037036     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00    231.02     0.00  2705280     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00    231.02     0.00  2319316     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00    231.02     0.00  1946480     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00    231.02     0.00  1946480     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00    231.02     0.00  1922480     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00    231.02     0.00  1922480     0.00     0.00  std::vector<float, std::allocator<float> >::_S_do_relocate(float*, float*, float*, std::allocator<float>&, std::integral_constant<bool, true>)
  0.00    231.02     0.00  1800000     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00    231.02     0.00  1800000     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.00    231.02     0.00  1618960     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00    231.02     0.00  1370076     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00    231.02     0.00  1370076     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00    231.02     0.00  1370076     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00    231.02     0.00  1370076     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00    231.02     0.00  1370076     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00    231.02     0.00  1292640     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00    231.02     0.00  1213240     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00    231.02     0.00  1200000     0.00     0.00  bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00    231.02     0.00  1093240     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00    231.02     0.00  1090556     0.00     0.00  std::allocator<float>::~allocator()
  0.00    231.02     0.00   961315     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    231.02     0.00   886436     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00    231.02     0.00   769672     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00    231.02     0.00   769672     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00    231.02     0.00   769672     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > std::__miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00    231.02     0.00   769672     0.00     0.00  float const* std::__niter_base<float const*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00    231.02     0.00   659440     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00    231.02     0.00   657720     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00    231.02     0.00   657720     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00    231.02     0.00   657720     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00    231.02     0.00   657720     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00    231.02     0.00   657720     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00    231.02     0.00   657720     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00    231.02     0.00   612956     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl_data::_Vector_impl_data()
  0.00    231.02     0.00   584026     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00    231.02     0.00   584026     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00    231.02     0.00   514032     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00    231.02     0.00   514020     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00    231.02     0.00   514020     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00    231.02     0.00   408836     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00    231.02     0.00   408836     0.00     0.00  float* std::__niter_wrap<float*>(float* const&, float*)
  0.00    231.02     0.00   384836     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float>, float>::_S_select_on_copy(std::allocator<float> const&)
  0.00    231.02     0.00   384836     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00    231.02     0.00   384836     0.00     0.00  std::vector<float, std::allocator<float> >::begin() const
  0.00    231.02     0.00   384836     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00    231.02     0.00   384836     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00    231.02     0.00   384836     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00    231.02     0.00   384836     0.00     0.00  std::allocator_traits<std::allocator<float> >::select_on_container_copy_construction(std::allocator<float> const&)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::__copy_move_a1<false, float const*, float*>(float const*, float const*, float*)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::__copy_move_a2<false, float const*, float*>(float const*, float const*, float*)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::uninitialized_copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, float>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*, std::allocator<float>&)
  0.00    231.02     0.00   384836     0.00     0.00  float* std::copy<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, float*)
  0.00    231.02     0.00   374000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >* std::__addressof<std::vector<unsigned char, std::allocator<unsigned char> > >(std::vector<unsigned char, std::allocator<unsigned char> >&)
  0.00    231.02     0.00   304020     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  0.00    231.02     0.00   304016     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> > const*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::base() const
  0.00    231.02     0.00   304016     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00    231.02     0.00   304016     0.00     0.00  unsigned char const* std::__niter_base<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00    231.02     0.00   292020     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::_M_max_size() const
  0.00    231.02     0.00   292016     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00    231.02     0.00   292014     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00    231.02     0.00   292014     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00    231.02     0.00   292014     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00    231.02     0.00   292014     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
